Wilayah,Jum Trans,ZA(Kg),UREA(Kg),SP36(Kg),NPK(Kg),ORG(Kg),Nominal,Kios,Poktan
KAB. LAMPUNG SELATAN,5779,0,718250,0,690785,1840,3186790000,147,298
KAB. LAMPUNG TENGAH,13229,53050,668476,116352,517814,23055,2841773600,332,162
KAB. LAMPUNG UTARA,1822,429,317428,1692,164826,11389,1107214100,138,114
KAB. LAMPUNG BARAT,2598,78167,101813,118804,238371,7002,1200997650,88,273
KAB. TULANG BAWANG,318,0,51670,9864,57848,5956,248882600,97,3
KAB. TANGGAMUS,11534,89957,695646,100254,393181,13431,2854711100,89,255
KAB. LAMPUNG TIMUR,581,322,115995,2159,78988,1602,449581750,247,42
KAB. WAY KANAN,3705,0,289680,0,320835,1674,1391039700,66,154
KAB. PESAWARAN,3224,4350,457407,14746,230522,106712,1694015150,77,118
KAB. PRINGSEWU,124192,59954,6183347,162258,4457622,435971,15975264650,68,2199
KAB. MESUJI,351,0,55046,0,60076,0,262028300,45,19
KAB. TULANG BAWANG BARAT,1928,0,164326,308,115736,1555,637909520,50,88
KAB. PESISIR BARAT,1667,0,141815,0,113289,1497,580846050,31,136
KOTA BANDAR LAMPUNG,2185,0,249345,0,122746,0,794882050,7,43
KOTA METRO,9250,0,531936,4670,471378,74796,2133340200,11,210
PROVINSI,183363,286229,10742140,531107,8034017,686480,35357276420,1493,4114
